id,description
1,"ADVANCE TO GO. (COLLECT $200)"
2,"BANK PAYS YOU DIVIDEND OF $50."
3,"ADVANCE TO BOARDWALK."
4,"MAKE GENERAL REPAIRS ON ALL YOUR PROPERTY: FOR EACH HOUSE PAY $25, FOR EACH HOTEL PAY $100."
5,"ADVANCE TO THE NEXT UTILITY. If UNOWNED, you may buy it from the Bank. If OWNED, throw dice and pay owner ten times the amount thrown."
6,"ADVANCE TO THE NEXT RAILROAD. If UNOWNED, you may buy it from the Bank. If OWNED, pay owner twice the rental to which they are otherwise entitled."
7,"ADVANCE TO THE NEXT RAILROAD. If UNOWNED, you may buy it from the Bank. If OWNED, pay owner twice the rental to which they are otherwise entitled."
8,"GO TO JAIL. GO DIRECTLY TO JAIL, DO NOT PASS GO, DO NOT COLLECT $200"
9,"GO BACK THREE SPACES"
10,"SPEEDING FINE $15"
11,"YOUR BUILDING LOAN MATURES. COLLECT $150."
12,"TAKE A TRIP TO READING RAILROAD, IF YOU PASS GO, COLLECT $200"
13,"ADVANCE TO ST. CHARLES PLACE. IF YOU PASS GO, COLLECT $200."
14,"GET OUT OF JAIL FREE. This card may be kept until needed or traded"
15,"YOU HAVE BEEN ELECTED CHAIRMAN OF THE BOARD. PAY EACH PLAYER $50."
16,"ADVANCE TO ILLINOIS AVENUE. IF YOU PASS GO, COLLECT $200."
